#,Symbol,Name,Market Cap (US $),Price (US $),Circulating Supply,Volume (24h), 1h (%), 24h (%), 7d (%)
627, ART ,Maecenas,1693049,0.043094,39287162,2161,-3.35,-20.57,-69.89
628, MAS ,MidasProtocol,1682607,0.006409,262549850,44490,-0.2,-13.42,-48.83
629, UBT ,Unibright,1674024,0.012016,139311719,109174,-0.03,-12.68,-46.12
630, DEV ,DeviantCoin,1666532,0.128139,13005680,3515,-0.39,-16.41,-38.48
631, DBIX ,DubaiCoin,1662254,0.744437,2232901,14975,-0.36,-8.31,-28.98
632, CZR ,CanonChain,1661738,0.003425,485218384,60721,0.28,-9.22,-42.08
633, BMX ,BitMart Token,1650974,0.014186,116381769,582765,-0.44,-13.19,-39.65
634, MUSIC ,Musicoin,1642381,0.001373,1196200835,23806,0.35,-14.5,-38.97
635, ERO ,Eroscoin,1640054,0.008782,186744000,1243,1.13,-28.03,-43.06
636, BOT ,Bodhi,1639514,0.040988,40000000,342768,-0.96,-27.22,-37.33
637, RET ,RealTract,1623508,0.000157,10350003100,56747,0.08,-9.26,-29.77
638, HLM ,Helium,1619516,0.182065,8895237,889,0.1,-11.12,-37.17
639, IXT ,IXT,1616635,0.045184,35778844,5498,-1.87,-16.34,-29.5
640, AUR ,Auroracoin,1615055,0.094789,17038423,1945,0.06,11.79,-10.59
641, NTK ,Neurotoken,1598715,0.020261,78906618,190987,-0.22,-14.02,-44.06
642, OMX ,Shivom,1592759,0.002527,630244674,8152,-0.65,-16.06,-39.05
643, NCC ,NeuroChain,1590855,0.006274,253555139,32009,-1.08,-22.57,-44.8
644, ECOM ,Omnitude,1588481,0.030874,51450440,52278,-1,-11.42,-45.91
645, EXY ,Experty,1585225,0.058521,27088352,24107,-0.69,-23.57,-35
646, ABL ,Airbloc,1576956,0.008197,192381776,287552,-0.18,-13.04,-52.49
647, DAG ,Constellation,1570588,0.002471,635734528,38224,-0.09,-13.64,-32.4
648, ESN ,Ethersocial,1559699,0.062251,25054883,2983,-1.16,-21.49,-27.2
649, ORME ,Ormeus Coin,1558312,0.091508,17029321,1030572,-0.12,-4.81,-35.05
650, 1WO ,1World,1552513,0.075049,20686551,50363,1.89,-7.73,-48.05
651, XLR ,Solaris,1549566,0.964236,1607040,579,0.28,-10.82,-43.67
652, LMC ,LoMoCoin,1548538,0.006184,250409922,1687,-0.7,-12.92,-41.06
653, IFOOD ,Ifoods Chain,1544735,0.000618,2499999990,8697,-2.98,-27.71,-64.46
654, FTT ,FarmaTrust,1531063,0.002552,600000000,95325,0.14,-16.98,-43.35
655, UCASH ,UNIVERSAL CASH,1529940,0.000183,8338418171,39760,-0.15,-13.36,-52.27
656, BBN ,Banyan Network,1525046,0.003231,471932830,80959,0.01,-12.94,-40.94
657, BANCA ,Banca,1513918,8.4E-05,17926481684,30716,-0.26,-14.7,-39.98
658, HKN ,Hacken,1513643,0.28258,5356509,8880,0.05,-16.74,-45.72
659, WCT ,Waves Communi...,1499137,0.150446,9964593,Low Vol,-0.08,-12.15,-31.65
660, AMLT ,AMLT,1495725,0.017666,84669016,786,-2.3,-35.44,-18.11
661, ZMN ,ZMINE,1481681,0.011037,134246464,10324,-1.61,-16.29,-36.38
662, COIN ,Coinvest,1477376,0.124678,11849567,Low Vol,-0.6,-27.07,-39.61
663, NUSD ,nUSD,1468595,0.968494,1516371,16864,0.25,-2.54,-2.77
664, DXT ,Datawallet,1467028,0.003759,390222225,20060,-0.12,-6.37,-31.53
665, GAM ,Gambit,1465670,1.27,1154053,858,0.1,-14.29,-37.74
666, PSM ,PRASM,1462163,0.000721,2028000000,82278,-1.43,-21.58,-41.48
667, GENE ,Gene Source C...,1457652,0.003951,368944799,14679,0.01,-10.58,-42.19
668, GEM ,Gems,1455893,0.001269,1147488025,51363,-0.58,-13.35,-41.93
669, EXRN ,EXRNchain,1454841,1.6E-05,92500000000,28605,0.41,-19.98,-37.93
670, MSR ,Masari,1449147,0.172683,8391929,5612,-0.06,-15.04,-44.44
671, XST ,Stealth,1445529,0.047601,30367901,1294,-0.72,-20.61,-51.74
672, RLX ,Relex,1442681,0.001242,1161831044,17944,-0.39,-16.81,-26.92
673, NVC ,Novacoin,1440086,0.641012,2246583,1130,0.76,-11.2,-89.02
674, TFL ,TrueFlip,1437084,0.230034,6247267,81225,-0.11,-15.06,-37.88
675, XTL ,Stellite,1430700,0.000227,6292856850,18471,-0.17,-18.99,-50.97
676, VEX ,Vexanium,1428546,0.004733,301800825,227425,-0.75,-8.38,-28.07
677, SSP ,Smartshare,1420914,0.000311,4572421417,119594,-1.06,-24.35,-59.85
678, RSTR ,Ondori,1418749,3.9E-05,36486460141,8205,-0.32,-23.03,-42.61
679, TNC ,Trinity Netwo...,1414877,0.004245,333333333,10407,-0.23,-14.15,-40.53
680, WAB ,WABnetwork,1411487,0.000142,9939999989,5829,-0.07,-19.45,-37.62
681, PIRL ,Pirl,1394888,0.052952,26342573,22067,-0.05,-13.03,-51.99
682, MINT ,MintCoin,1391208,5.6E-05,24947260808,505,0.58,-32.81,-52.01
683, MTN ,Medicalchain,1390015,0.007514,185000000,79993,-0.9,-17.88,-47.38
684, TIME ,Chronobank,1388863,1.96,710113,53144,-0.2,-18.01,-39.27
685, DAV ,DAV Coin,1373080,0.00302,454636709,39680,-0.13,-15.45,-45.05
686, SLR ,SolarCoin,1372281,0.02803,48958273,1847,0.64,-6.98,-27.99
687, SXUT ,Spectre.ai Ut...,1361912,0.055521,24529558,15536,-0.22,-9.82,-44.95
688, EKO ,EchoLink,1356800,0.003639,372810007,94255,-0.17,-13.92,-38.45
689, GBX ,GoByte,1342030,0.445109,3015058,30117,0.05,-13.58,-31.83
690, EGT ,Egretia,1340126,0.000413,3245514700,214848,-1.03,-14.7,-51.49
691, FLP ,FLIP,1339479,0.023939,55955000,86921,-0.11,0.67,-18.5
692, FLIXX ,Flixxo,1331413,0.016625,80083009,29106,-0.31,-18.74,-46.34
693, GUP ,Matchpool,1327588,0.017701,75000000,46360,-0.97,-18.45,-53.92
694, OMNI ,Omni,1324551,2.36,561665,1563,-0.8,-17.3,-47.43
695, RVT ,Rivetz,1324404,0.050464,26244468,Low Vol,0.02,-15.93,-45.78
696, LXT ,Litex,1321801,0.001612,819999982,354380,-0.69,-23.23,-46.97
697, GARD ,Hashgard,1320047,9.2E-05,14358849725,64166,-0.4,-15.15,-37.29
698, CBT ,CommerceBlock,1309145,0.007556,173256686,2126,0.09,-18.14,-26.59
699, AC3 ,AC3,1300049,0.018866,68909520,13207,-0.2,-12.92,-38.24
700, UGC ,ugChain,1300048,0.002285,568842039,182783,0.67,-16.44,-43.53
701, X8X ,X8X Token,1298448,0.02111,61507341,2587,-0.13,-9.33,-30.54
702, DNA ,EncrypGen,1293605,0.019892,65029977,9805,-1.06,-27.83,-55.74
703, WSX ,WeAreSatoshi,1291655,0.052651,24532587,1919,-0.57,-15.9,-24.92
704, CPY ,COPYTRACK,1286710,0.041284,31167405,Low Vol,-2.19,-8.11,-31.32
705, CBC ,CashBet Coin,1280108,0.010071,127103000,2842,0.08,-12.92,-42.78
706, SHIP ,ShipChain,1274012,0.006011,211943624,Low Vol,0.65,-5.05,-37.63
707, ONL ,On.Live,1270888,0.058777,21622215,64170,-0.13,-14.55,-50.69
708, KWATT ,4NEW,1270867,0.02327,54613736,200122,0.54,-2.13,-11.5
709, BSD ,BitSend,1259350,0.059174,21282093,2292,-0.11,-17.09,-48.84
710, SIB ,SIBCoin,1256839,0.07316,17179433,175800,-0.02,-14.18,-24.35
711, PYN ,PAYCENT,1239263,0.040416,30662802,4530,-0.09,-31.67,-53.04
712, INXT ,Internxt,1238792,1.97,629610,11506,0.62,-11.57,-31.79
713, MOTO ,Motocoin,1235143,0.062881,19642673,Low Vol,0.72,-9.31,-24.53
714, CHP ,CoinPoker,1234818,0.003915,315414462,4989,0,-17.92,-51.22
715, GEN ,DAOstack,1225885,0.032023,38281549,1643,-0.39,-26.57,-59.29
716, VZT ,Vezt,1221660,0.016408,74453710,Low Vol,-7.29,-38.2,-43.88
717, NKC ,Nework,1217426,0.008249,147586172,182878,0.47,-5.22,-33.91
718, FMF ,Formosa Finan...,1216217,0.001683,722824374,83803,-1,-13.04,-50.86
719, IDH ,indaHash,1211488,0.003029,399936259,50936,-0.24,-13.05,-45.03
720, OLT ,OneLedger,1197818,0.003498,342402597,94712,-0.35,-14.4,-45.47
721, BOXX ,BOXX Token [B...,1193685,0.052083,22918824,198939,-0.97,-18.97,-59.54
722, XSH ,SHIELD,1190107,0.00232,512973375,5831,-0.3,-22.1,-50.08
723, NBAI ,Nebula AI,1189295,0.001023,1162684117,3667,0.07,-11.05,-37.32
724, MYST ,Mysterium,1174612,0.049964,23509302,Low Vol,-0.32,-14.35,-41.83
725, SSC ,SelfSell,1174288,0.003011,390000000,113510,0.18,-6.66,-25.75
726, CAN ,CanYaCoin,1173942,0.025396,46225059,68407,-0.16,-11.69,-36.47
727, MITX ,Morpheus Labs,1167706,0.00568,205577285,28186,0.15,-6.87,-38.8
728, LEV ,Leverj,1167219,0.009884,118090511,24843,-0.72,-11.62,-41.02
729, NOTE ,DNotes,1163917,0.008619,135043262,61761,0.08,-11.28,-43.14
730, MIB ,MIB Coin,1158306,0.027808,41653819,810426,1.57,-5.14,-25.12
731, OXY ,Oxycoin,1149116,0.001288,892433343,1986,-0.78,-16.77,-66.22
732, EFX ,Effect.AI,1147310,0.005551,206668526,3443,1.19,-25.45,-41.36
733, VIPS ,Vipstar Coin,1141389,0.000104,10931338961,988346,0,-16.2,-52.15
734, ETK ,EnergiToken,1132852,0.000831,1362708830,10744,-1.63,-26.98,-39.64
735, BOB ,Bob's Repair,1130598,0.014442,78286331,326656,-1.27,-30.54,-51.36
736, MASH ,MASTERNET,1130460,0.035676,31686740,4787,-3.62,-52.72,-65.35
737, ZEPH ,Zephyr,1125213,0.003957,284379797,2151,-0.24,-14.07,-34.74
738, RED ,RED,1121102,0.008624,130000009,17792,0.05,-4.31,-28.42
739, SNTR ,Silent Notary,1120854,1.3E-05,83470521339,161576,-0.35,-14.68,-42.39
740, AVT ,Aventus,1120270,0.186712,6000000,10141,0.55,-5.24,-40.41
741, SEQ ,Sequence,1114545,0.024156,46139430,Low Vol,-0.12,-13.92,-47.54
742, EXP ,Expanse,1110922,0.10585,10495278,5617,-0.4,-16.07,-36.12
743, REAL ,REAL,1105857,0.109972,10055817,5236,-0.2,-10.44,-26.18
744, WIRE ,AirWire,1098874,0.009153,120058126,68220,6.65,-46.87,-33.34
745, ABYSS ,The Abyss,1097363,0.004945,221911905,192330,-0.87,-9.97,-34.78
746, DEB ,Debitum,1095213,0.005519,198445716,15802,-0.3,-18.72,-45.43
747, TRST ,WeTrust,1091273,0.011843,92147500,87860,-0.14,-10.72,-41.03
748, ALIS ,ALIS,1089286,0.027983,38926863,1281,-0.3,-17.04,-40.26
749, ATMI ,Atonomi,1088182,0.002118,513848905,54359,-1.54,-17.22,-58.03
750, NLC2 ,NoLimitCoin,1076380,0.005113,210503477,6678,-0.01,-17.96,-50.99
751,42,42-coin,1073143,25551.05,41.999961,2746,0.8,5.45,8.19
752, GEO ,GeoCoin,1070415,0.33655,3180551,2268,-0.28,-12.92,-36.02
753, KIND ,Kind Ads Token,1067719,0.030977,34468094,Low Vol,1.3,-26.67,19.23
754, MVP ,Merculet,1066818,0.000314,3400737915,52109,-0.45,-17.61,-49.28
755, TRTL ,Turtlecoin,1062541,4.1E-05,26223509454,6414,-0.81,-15.52,-43.88
756, QBT ,Qbao,1060756,0.016232,65351403,63070,-0.42,-9.91,-46.68
757, VRS ,Veros,1049187,0.019663,53358018,392535,-0.41,-87.56,147.87
758, CRBT ,Cruisebit,1048846,0.040042,26193870,25799,-0.04,8.63,-9.34
759, RNTB ,BitRent,1044954,0.001241,841738500,3637,-0.2,-12.27,-38.28
760, DAT ,Datum,1042047,0.001064,979688287,36557,-0.18,-15.2,-46.03
761, RKC ,Rookiecoin,1029956,0.00034,3031203013,Low Vol,-0.07,-3.5,-24.19
762, NIO ,Autonio,1025062,0.012377,82820804,47905,-0.19,-11.24,-37
763, ZAP ,Zap,1018428,0.007915,128666929,2151,-0.11,-15.73,-42.34
764, ABY ,ArtByte,1017769,0.001284,792537250,10966,0.16,-15.22,-36.83
765, GZRO ,Gravity,1015220,0.000468,2170209776,1184,-0.93,-22.76,-63.24
766, LPC ,Lightpaycoin,1013160,0.238614,4246026,18629,-0.6,-26.28,-48.12
767, RTE ,Rate3,1011073,0.002357,428994997,156955,0.08,-7.93,-44.35
768, VOCO ,Provoco Token,1006941,0.006795,148179140,157205,-0.66,-18.68,-69.15
769, PTOY ,Patientory,1006618,0.01438,70000000,9969,-0.33,-17.95,-48.59
770, FDZ ,Friendz,1004904,0.001976,508427382,13390,-0.96,-21.16,-25.58
771, FLDC ,FoldingCoin,1002964,0.001441,696185238,733,-0.29,-14.85,-33.51
772, IPL ,VouchForMe,996754,0.004959,201000000,134075,-0.21,-12.84,-43.37
773, XSD ,SounDAC,994168,0.068179,14581806,Low Vol,0.05,-6.04,-46.25
774, ADST ,AdShares,994091,0.051297,19379103,1503,-0.83,-15.61,-37.95
775, JSE ,JSECOIN,993713,0.002241,443479880,1449,-0.76,-17.84,-42.54
776, 0xBTC ,0xBitcoin,992976,0.295698,3358073,204392,-1.18,-13.35,-38.87
777, ALI ,AiLink Token,986415,0.000505,1952747080,26046,-0.17,-13.74,-31.97
778, TRF ,Travelflex,983495,0.012464,78905316,153372,-0.31,-17.52,-53.87
779, CPC ,Capricoin,978199,0.491546,1990045,143065,0.34,-8.73,-29.84
780, LGS ,LogisCoin,972826,1.03,944386,49373,-0.37,-16.48,-54.53
781, BDG ,BitDegree,971323,0.002726,356337711,Low Vol,0,-26.88,-51.75
782, SONIQ ,Soniq,966039,0.021468,45000020,Low Vol,0.63,-1.75,8.54
783, BC ,Block-Chain.com,962911,0.09578,10053314,Low Vol,3.03,-7.95,127.52
784, QWARK ,Qwark,960058,0.0144,66672937,8465,3.39,7.2,-12.62
785, SVD ,savedroid,959943,0.000357,2688339238,864,-0.05,-25.82,-36.08
786, AAC ,Acute Angle C...,956939,0.003828,250000000,324970,0.21,-9.38,-37.5
787, LEDU ,Education Eco...,950464,0.004364,217789857,18719,-0.04,-3.52,-41.07
788, DYN ,Dynamic,946388,0.309844,3054402,25594,-0.1,-2.14,-42.04
789, UQC ,Uquid Coin,945058,0.094506,10000000,432658,0.07,-14.5,-33.38
790, SHP ,Sharpe Platfo...,940911,0.054767,17180144,1188,-0.2,-9.33,-31.2
791, FOXT ,Fox Trading,937329,0.133333,7030000,382438,-0.17,-11.8,-40.7
792, ICR ,InterCrone,937046,0.06618,14159072,28162,-0.36,3.51,-27.41
793, ABX ,Arbidex,932892,0.045681,20421954,58322,0.27,-14.87,-45.28
794, LATX ,LatiumX,925191,0.008862,104405515,122312,-0.7,-12.92,-4.58
795, SIC ,Swisscoin,923474,0.000113,8186564436,4534,-1.01,-13.75,-43.73
796, SCC ,SiaCashCoin,921696,0.00011,8391813971,9997,-0.33,-8,-19.16
797, SPHR ,Sphere,918074,0.297792,3082940,13095,-0.59,-22.11,-22.65
798, TKS ,Tokes,917215,0.266322,3444002,Low Vol,1.28,-2.09,-20.77
799, HER ,HeroNode,911141,0.000961,948104698,11949,-0.22,-17.5,-39.69
800, TSL ,Energo,910484,0.001511,602378920,15580,0.19,-7.01,-42.03
801, HEAT ,HEAT,904557,0.024083,37559641,Low Vol,-0.02,-7.46,-44.92
802, NPER ,NPER,904034,0.018107,49927451,33327,-0.19,-14.99,-50.11
803, AID ,AidCoin,900467,0.020795,43302057,9129,-1.06,-19.84,-53.37
804, CBC ,Cashbery Coin,897884,0.162554,5523618,107661,-0.12,-2.59,11.33
805, LIFE ,LIFE,897803,3.8E-05,23442468688,9667,1.78,-12.71,-31.41
806, BITX ,BitScreener T...,896555,0.005844,153417480,7089,-0.18,-10.7,-47.85
807, MDT ,Measurable Da...,896543,0.002177,411744800,182067,-0.28,-14.01,-47.02
808, FTX ,FintruX Network,892139,0.010496,85000000,1356,-0.66,-19.53,-35.46
809, SWT ,Swarm City,891325,0.106838,8342785,4517,-1.32,-24.36,-46.29
810, LNC ,Linker Coin,890491,0.007896,112776150,Low Vol,-0.07,-17.3,-52.4
811, SNOV ,Snovian.Space,889476,0.002196,404980448,33504,-0.24,-18.1,-38.68
812, OK ,OKCash,886375,0.011934,74270615,6692,-0.51,-16.74,-47.26
813, ARO ,Arionum,880884,0.011769,74847830,40221,-0.39,-15.05,-24.96
814, HQX ,HOQU,878942,0.005816,151118386,946347,0.01,-11.78,-31.97
815, TIC ,Thingschain,876201,7.7E-05,11445000000,150037,-0.87,-14.01,-44.64
816, CMCT ,Crowd Machine,852137,0.001812,470164800,1274,-0.31,-15.49,-37.46
817, PNK ,Kleros,848612,0.004839,175376971,3223,-0.03,-8.71,-31.89
818, GAT ,Global Awards...,845438,0.001596,529861449,17141,-0.34,0.17,-55.19
819, HXX ,Hexx,840848,0.457364,1838466,16145,-0.31,-3.31,10.23
820, 2GIVE ,2GIVE,835468,0.001605,520402826,3936,-0.04,-15.12,-25.02
821, ACAT ,Alphacat,826841,0.000296,2790428084,30172,-0.18,-13.87,-43.95
822, KB3 ,B3Coin,826179,0.001122,736072855,Low Vol,-0.27,-11.24,-39.05
823, CLN ,Colu Local Ne...,824849,0.008261,99843185,19616,-0.74,-16.28,-40.42
824, XPD ,PetroDollar,820525,0.012822,63993275,Low Vol,-0.07,-9.26,-64.23
825, ADB ,adbank,819405,0.001366,599665059,33420,-0.21,-15.55,-49.7
826, SHND ,StrongHands,813084,8.8E-08,9237033456871,2881,-0.2,-15.23,-35.77
827, ALX ,ALAX,812940,0.002424,335331632,1440,-0.78,-12.06,-39.95
828, CURE ,Curecoin,811880,0.033946,23916464,Low Vol,0.03,-12.48,-44.42
829, OPTI ,OptiToken,808736,0.033827,23908174,43365,-0.63,-12.49,-68.68
830, VIT ,Vice Industry...,800613,0.002585,309740596,529,-0.29,-4.47,-35.2
831, SENSE ,Sense,799942,0.003202,249811396,Low Vol,-0.78,-4.37,-16.22
832, ATL ,ATLANT,799137,0.021281,37551901,23000,0.01,-10.24,-37.73
833, UFR ,Upfiring,796365,0.040965,19440000,2144,-0.18,-15.03,-37.81
834, ZEIT ,Zeitcoin,793361,2.1E-05,36971223763,Low Vol,-0.85,-12.94,-25.44
835, BEE ,Bee Token,792427,0.004246,186626292,591,0.32,-11.58,-35.81
836, SCL ,Sociall,778176,0.046558,16714020,Low Vol,-1.22,1.06,-25.2
837, SYNX ,Syndicate,774872,0.023829,32518010,22534,-0.1,-20.72,-52.91
838, XBC ,Bitcoin Plus,772741,6.62,116714,7297,0.48,-11.4,4.75
839, NOKU ,Noku,771727,0.053615,14393734,Low Vol,-0.03,-8.1,58.13
840, MYB ,MyBit,769271,0.007908,97277481,Low Vol,-0.31,-14.74,-43.55
841, INSTAR ,Insights Network,764920,0.005526,138426112,48487,-0.26,-14.16,-39
842, SMOKE ,Smoke,754760,0.037694,20023099,Low Vol,0.33,-23.41,-8.4
843, HERO ,Sovereign Hero,746468,156.39,4773,2902,-0.24,-14.17,1.86
844, CST ,Cryptosolartech,746183,0.011609,64278763,110504,-0.11,-12.07,-27.71
845, INV ,Invacio,742900,0.022754,32649383,2665,-0.51,-12.76,-44.47
846, FORK ,Forkcoin,740147,0.152624,4849476,31148,0.94,-10.03,-40.52
847, BETR ,BetterBetting,734554,0.004328,169702067,27634,-0.49,-4.1,-13.7
848, PINK ,PinkCoin,721127,0.001837,392612560,1400,-0.71,-17.33,-43.69
849, J8T ,JET8,720413,0.001195,602982096,39366,0.12,-10.5,-38.12
850, LDOGE ,LiteDoge,719941,4.8E-05,15129607335,Low Vol,1.31,-15.42,-14.53
851, STAR ,Starbase,718886,0.003834,187500000,2321,-0.43,-12.59,-29.35
852, BTCZ ,BitcoinZ,718525,0.000228,3153720217,89877,0,-8.84,-42.33
853, SPRTS ,Sprouts,707072,4.5E-08,15701400244668,3047,-0.37,-14.62,-29.7
854, PKT ,Playkey,705696,0.051769,13631512,14348,-0.38,-14.43,-36.72
855, DTH ,Dether,699630,0.008369,83600000,5734,-0.25,-3.57,-23.75
856, NEOS ,NeosCoin,697552,0.169111,4124820,12194,2.22,23.54,-17.69
857, NBR ,Niobio Cash,696568,0.006124,113737846,3624,-0.43,-26.37,-37.29
858, TIPS ,FedoraCoin,696246,3E-06,212269865434,14009,0.03,-10.61,-14.82
859, PRIX ,Privatix,693795,0.586636,1182668,764,-0.59,-13.85,-36.88
860, WRC ,Worldcore,693513,0.003894,178103291,5093,-0.51,13.01,-27.34
861, CPLO ,Cpollo,693266,6.8E-05,10173660246,829,-0.54,-15.19,-41.65
862, HB ,HeartBout,692739,0.013023,53195267,35762,-0.21,-12.79,-19.57
863, HGT ,HelloGold,688597,0.002618,263034654,Low Vol,-2.74,-19.42,-50.52
864, STX ,Stox,684497,0.013378,51165537,23299,-0.53,-17.55,-49.21
865, TRAK ,TrakInvest,684446,0.008155,83933471,26083,0.07,-11.64,-8.19
866, LIKE ,LikeCoin,684419,0.001445,473578765,52703,-0.34,-12.78,-38.79
867, ZLA ,Zilla,681817,0.016055,42466654,73236,-0.13,-22.82,-45.47
868,1337,Elite,678511,2.6E-05,26305925030,Low Vol,-0.46,-7.92,-20.91
869, ETBS ,Ethbits,675299,0.413105,1634691,Low Vol,-0.08,-13.55,-40.54
870, EVE ,Devery,671987,0.01068,62918410,82485,-0.22,-13.48,-53.9
871, PLAY ,HEROcoin,671357,0.005494,122195181,41039,-1.17,-23.79,-42.03
872, POLL ,ClearPoll,670174,0.095739,6999991,2436,-0.06,-20.71,-53.33
873, W3C ,W3Coin,669821,1.3E-05,51738483952,Low Vol,-0.19,-10.27,-47.31
874, XHI ,HiCoin,666778,0.00015,4434602828,Low Vol,-0.06,-5.06,-20.54
875, EXCL ,ExclusiveCoin,666711,0.129344,5154551,6993,-0.91,-16.1,-38.52
876, IPSX ,IP Exchange,665078,0.000785,846839680,24428,-0.24,-12.66,-21.35
877, KORE ,Kore,661453,0.327053,2022465,34167,0.63,-10.52,-32.36
878, IOP ,Internet of P...,659931,0.120915,5457799,45414,-0.2,-21.08,-47.63
879, OOT ,Utrum,652709,0.020145,32400074,30484,1.31,30.44,-7.05
880, BERRY ,Rentberry,652473,0.002165,301431305,2271,-0.91,-8.83,-50.86
881, TAC ,Traceability ...,651976,0.001757,370975346,16737,0.18,-9.91,-44.88
882, PKC ,PikcioChain,649531,0.015368,42264499,1034,3.59,10.99,-40.5
883, COFI ,CoinFi,649013,0.003679,176433818,18134,-1.75,-26.77,-49.1
884, REBL ,REBL,648788,0.00377,172109182,910,-1.07,-20.47,-53.16
885, DAGT ,Digital Asset...,643013,0.028525,22542330,300923,-0.2,-17.16,-32.84
886, NLX ,Nullex,642883,0.015883,40477042,5770,0.49,-8.92,-20.26
887, QCH ,QChi,642575,0.027931,23005617,6795,0.21,-12.58,-29.12
888, UCN ,UChain,640325,0.002369,270266373,155629,-0.02,-10.12,-33.08
889, ZER ,Zero,639524,0.141499,4519651,2829,0.31,-15.08,-49.94
890, PIX ,Lampix,636169,0.004701,135322017,Low Vol,-0.75,-16.85,-42.65
891, CTC ,Credit Tag Chain,633252,0.015563,40690479,109347,1.23,-8.89,-45
892, INVE ,InterValue,628781,0.006662,94385463,202011,0.39,-5.59,-42.71
893, SEND ,Social Send,627661,0.016228,38677760,Low Vol,0.08,-8.56,-47.27
894, LUC ,Level Up Coin,625239,0.000627,996923370,4426,0.85,-13.63,-36.06
895, BETHER ,Bethereum,623854,0.002214,281820685,509,0,-9.67,-22.74
896, PUT ,Profile Utili...,618044,0.013646,45289804,85567,-0.72,-1.59,-37.39
897, TGAME ,Truegame,616688,0.007468,82575464,35544,-0.23,-14.88,-40.16
898, EVN ,EvenCoin,612210,0.033419,18318955,103670,2.23,-15.44,-28.05
899, OBITS ,OBITS,604303,0.039486,15304286,54811,0,-13.35,-37.34
900, XNN ,Xenon,603483,0.002012,300000000,Low Vol,0.13,-11.09,-14.4
901, CAT ,BitClave,601431,0.0012,501394406,1054,-0.44,-18.41,-31.66
902, SENC ,Sentinel Chain,597207,0.003027,197269666,14668,-0.61,-11.91,-50.91
903, OTN ,Open Trading ...,591692,0.292262,2024530,Low Vol,-2.84,7.12,-23.4
904, BNTY ,Bounty0x,587384,0.003153,186296644,8752,-1.09,-12.93,-50.48
905, AIT ,AICHAIN,586666,0.001096,535067071,7679,-0.39,-16.16,-34.15
906, TX ,TransferCoin,584691,0.086518,6758053,133302,-0.5,-18.74,-39.73
907, FACE ,Faceter,583506,0.001241,470217546,6884,-0.56,-24.32,-55.61
908, DAN ,Daneel,580423,0.014236,40770512,2804,-0.44,-17.68,-38.83
909, MTC ,MTC Mesh Network,578086,0.002011,287462206,11453,-1.64,-14.14,-34.97
910, RYO ,Ryo Currency,575303,0.073913,7783543,1342,-0.52,-16.46,-43.07
911, VULC ,VULCANO,574572,0.004485,128119282,1192,-1.12,0.76,-34.36
912, MLC ,Mallcoin,572470,0.003248,176232519,33402,1.05,-5.19,-44.71
913, QRK ,Quark,569400,0.002216,257005191,1448,-2.2,-33.47,-61.94
914, IFT ,InvestFeed,566396,0.00296,191381257,Low Vol,-0.39,-14.34,-34.74
915, BRX ,Breakout Stake,565519,0.090222,6268082,1282,-0.19,-10.37,-39.21
916, ERT ,Eristica,563206,0.003363,167487832,813,0.06,-16.65,-43.74
917, HOLD ,HOLD,560776,0.000796,704821305,64269,0.08,-12.95,-27.46
918, BCY ,BitCrystals,559397,0.024282,23037833,Low Vol,4.89,-28.3,-50.85
919, SEAL ,Seal Network,558809,0.001122,498000000,1243,-0.19,-17.03,-45.79
920, UFO ,Uniform Fisca...,558388,0.00015,3712387495,Low Vol,-0.07,-13.55,-32.66
921, TIG ,Tigereum,557167,0.032877,16946787,Low Vol,-3.53,-12.3,-55.14
922, SRCOIN ,SRCOIN,555852,0.00011,5052048084,13471,-2.4,-30.4,-55.61
923, UNIT ,Universal Cur...,551685,0.03532,15619770,55359,-1.38,-16.97,-13.58
924, USNBT ,NuBits,540510,0.049219,10981667,30514,-1.44,-14.35,-34.94
925, EUNO ,EUNO,530850,0.036949,14367233,1005,0.19,-12.8,-57.43
926, BLU ,BlueCoin,528757,0.00092,574683675,Low Vol,-0.54,3.13,-28.36
927, SKIN ,SkinCoin,528121,0.005989,88183483,8070,0.01,-6.17,-19.85
928, EVC ,EventChain,526534,0.016849,31250497,2707,-3.29,-2.64,-23.48
929, ARY ,Block Array,526528,0.007694,68430738,26891,-0.64,-22.23,-55.52
930, ADH ,AdHive,524630,0.004687,111921314,44086,-0.17,-16.89,-45.87
931, XCEL ,XcelToken,523475,0.007088,73857273,80428,3.07,-0.06,-28.35
932, PRA ,ProChain,522727,0.010547,49562749,38803,0.41,-20.25,-57.07
933, GIC ,Giant,522254,0.208195,2508479,7807,-0.3,-14.09,-37.21
934, UBC ,Ubcoin Market,520863,0.001522,342272358,3148,-0.16,-11.77,-28.34
935, MTX ,Matryx,519861,0.022384,23224303,10239,-0.32,-16.17,-44.66
936, BLUE ,Blue Protocol,519785,0.014184,36645278,75963,-0.1,-11.07,-50.83
937, CCCX ,Clipper Coin,518256,0.000329,1575101355,6616,-0.35,-12.31,-41.97
938, BELA ,Bela,517958,0.013381,38707082,1318,-0.79,-13.4,-42.99
939, XGS ,GenesisX,515450,0.095676,5387441,4307,-0.52,2.36,-18.07
940, RPM ,Repme,513318,1.4E-05,36220523483,31030,-1.05,-27.22,-67.84
941, MEME ,Memetic / Pep...,510272,0.021706,23508202,30900,-0.12,-16.08,-40.48
